Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
CEPAB 2,396,2012-01-17,0,<null>,<null>,<null>,0,0,324.3 NO,323.5 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-18,0.3,<null>,<null>,<null>,0,0,324.1 NO,324 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-19,0.3,<null>,<null>,<null>,0,0,324.4 NO,323.7 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-20,0,<null>,<null>,<null>,0,0,324.1 NO,323.6 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-21,0,<null>,<null>,<null>,0,0,324.2 NO,323.3 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-22,0,<null>,<null>,<null>,0,0,325.2 NO,323.3 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-23,0,<null>,<null>,<null>,0,0,325 NO,323.3 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-24,0,<null>,<null>,<null>,0,0,323 NO,323.8 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-25,0,<null>,<null>,<null>,0,0,325.5 NO,323.6 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-26,0,<null>,<null>,<null>,0,0,324.4 NO,323.8 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-27,0.3,<null>,<null>,<null>,0,0,325.8 NO,324.2 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-28,0,<null>,<null>,<null>,0,0,325.5 NO,324.1 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-29,0,<null>,<null>,<null>,0,0,325.6 NO,327.2 NO,<null>,72.05,<null>,<null>,
CEPAB 2,396,2012-01-30,0,-6.4,-11.8,-9.75,0,0,294.9 O,278.8 O,<null>,56.42,<null>,<null>,
CEPAB 2,396,2012-01-31,0,-0.5,-11.8,-6.95,0,0,258.1 SO,262.7 SO,<null>,36.55,<null>,<null>,
CEPAB 2,396,2012-02-01,0,-5.1,-8.9,-6.82,0,0,279.2 O,292 O,<null>,25.22,<null>,<null>,
CEPAB 2,396,2012-02-02,0.3,<null>,<null>,<null>,0,0,309.5 O,309.7 O,<null>,16.35,<null>,<null>,
CEPAB 2,396,2012-02-03,0,<null>,<null>,<null>,0,0,326.1 NO,325.5 NO,<null>,2.56,<null>,<null>,
CEPAB 2,396,2012-02-04,0,<null>,<null>,<null>,0,0,325.3 NO,323.2 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-02-05,0,<null>,<null>,<null>,0,0,324.1 NO,324.1 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-02-06,0,<null>,<null>,<null>,0,0,325.9 NO,327 NO,<null>,1.4,<null>,<null>,
CEPAB 2,396,2012-02-07,0,<null>,<null>,<null>,0,0,325.3 NO,326.4 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-02-08,0,<null>,<null>,<null>,0,0,329 NO,331.8 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-02-09,3.9,<null>,<null>,<null>,0,0,308.2 O,311.9 O,<null>,14.78,<null>,<null>,
CEPAB 2,396,2012-02-10,0,<null>,<null>,<null>,0,0,315.3 NO,300.7 O,<null>,19.54,<null>,<null>,
CEPAB 2,396,2012-02-11,0,9.9,-8.9,3.05,0,0,298.3 O,249.2 SO,<null>,46.69,<null>,<null>,
CEPAB 2,396,2012-02-12,<null>,25.6,9.1,19.77,0,0,300.5 O,249.7 SO,<null>,69.72,<null>,<null>,
CEPAB 2,396,2012-02-13,<null>,32.9,-5.4,15.15,0,0,172.5 SE,214 S,<null>,74.62,<null>,<null>,
CEPAB 2,396,2012-02-14,0,31,1.4,14.41,0,0,243.7 SO,225.5 SO,<null>,72.32,<null>,<null>,
CEPAB 2,396,2012-02-15,0,23.4,-2.3,12.27,0,0,237.3 SO,235.9 SO,<null>,68.5,<null>,<null>,
CEPAB 2,396,2012-02-16,0,29.6,11.5,19.95,0,0,225.8 SO,222.7 S,<null>,75.39,<null>,<null>,
CEPAB 2,396,2012-02-17,0,24.4,-7.3,13.15,0,0,242.6 SO,258.8 SO,<null>,61.73,<null>,<null>,
CEPAB 2,396,2012-02-18,0,13.1,-8.3,1.94,0,0,291.4 O,288.3 O,<null>,51.19,<null>,<null>,
